Taxa ajustada de frequência escolar líquida: 18 a 24 no ensino superior
Sigla,Código,Estado,2016,2017,2018,2019,2022,2023,2024,
AL,27,Alagoas,15.6,14,18.5,16.3,16.7,17.6,17.8,
BA,29,Bahia,15.8,14.2,15.6,16,15,17.1,20.2,
CE,23,Ceará,16.8,17.7,19.1,22,21.5,24.3,23.1,
MA,21,Maranhão,12.7,13.7,16.1,15.4,16.3,18.6,20,
PB,25,Paraíba,20.3,20.9,21.8,21.6,19.4,23.2,25.2,
PE,26,Pernambuco,19.2,15.1,20,19.8,21.9,21.3,22.9,
PI,22,Piauí,20.3,21.2,22.2,24.7,24.1,23.3,25.6,
RN,24,Rio Grande do Norte,19.7,20.1,23.3,23,22.5,22.3,21.9,
SE,28,Sergipe,17.7,19.3,17.9,17.8,19.1,21.8,25.1,
